TERM	CLASS	DEFINITION	DEFINITION (DARWIN CORE)	DESCRIPTION	DESCRIPTION (DARWIN CORE)	CONTENT	NOTES	CONTROLLED VOCABULARY	DECISION	REFINES	DECISION DATE	RECOMMENDATION NOTES	NAMESPACE	URI (DARWIN CORE)	URI	LABEL	DATA TYPE	SORT	ISSUED	UPDATED	post_author	post_date	post_content	post_title	post_status	post_name	post_type	identifier	class	definition	description	project	label	refines	status	date_issued	date_modified	version
references	RecordLevel	A related resource that is referenced, cited, or otherwise pointed to by the described resource.	A related resource that is referenced, cited, or otherwise pointed to by the described resource.	Examples: "http://mvzarctos.berkeley.edu/guid/MVZ:Mamm:165861"; "http://www.catalogueoflife.org/annual-checklist/show_species_details.php?record_id=6197868".	Examples: "http://mvzarctos.berkeley.edu/guid/MVZ:Mamm:165861"; "http://www.catalogueoflife.org/annual-checklist/show_species_details.php?record_id=6197868".				recommended				Darwin Core	http://purl.org/dc/terms/references	http://purl.org/dc/terms/references	References		30	2015-05-06	2015-05-06	kenny	2015-05-06		references	publish	references	ethocore_term	http://purl.org/dc/terms/references	RecordLevel	A related resource that is referenced, cited, or otherwise pointed to by the described resource.	Examples: "http://mvzarctos.berkeley.edu/guid/MVZ:Mamm:165861"; "http://www.catalogueoflife.org/annual-checklist/show_species_details.php?record_id=6197868".	Darwin Core	References		recommended	2015-05-06	2015-05-06	references-2015-05-06
rightsHolder	RecordLevel	A person or organization owning or managing rights over the resource.	A person or organization owning or managing rights over the resource.	Example: "The Regents of the University of California.".	Example: "The Regents of the University of California.".				recommended				Darwin Core	http://purl.org/dc/terms/rightsHolder	http://purl.org/dc/terms/rightsHolder	Rights Holder		27	2015-05-06	2015-05-06	kenny	2015-05-06		rightsHolder	publish	rightsHolder	ethocore_term	http://purl.org/dc/terms/rightsHolder	RecordLevel	A person or organization owning or managing rights over the resource.	Example: "The Regents of the University of California.".	Darwin Core	Rights Holder		recommended	2015-05-06	2015-05-06	rightsHolder-2015-05-06
type	RecordLevel	The nature or genre of the resource. For EthoCore, recommended best practice is to use the controlled vocabulary specified in Ethogrammar Document Types.	The nature or genre of the resource. For Darwin Core, recommended best practice is to use the name of the class that defines the root of the record.	Examples: "StillImage", "MovingImage", "Sound", "PhysicalObject", "Event", "Text".	Examples: "StillImage", "MovingImage", "Sound", "PhysicalObject", "Event", "Text".			Ethogrammar Resource Types	recommended				Darwin Core	http://purl.org/dc/terms/type	http://purl.org/dc/terms/type	Type		23	2015-05-06	2015-05-06	kenny	2015-05-06		type	publish	type	ethocore_term	http://purl.org/dc/terms/type	RecordLevel	The nature or genre of the resource. For EthoCore, recommended best practice is to use the controlled vocabulary specified in Ethogrammar Document Types.	Examples: "StillImage", "MovingImage", "Sound", "PhysicalObject", "Event", "Text".	Darwin Core	Type		recommended	2015-05-06	2015-05-06	type-2015-05-06
dynamicProperties	RecordLevel	A list of additional measurements, facts, characteristics, or assertions about the record. Meant to provide a mechanism for structured content.	A list of additional measurements, facts, characteristics, or assertions about the record. Meant to provide a mechanism for structured content.	The recommended best practice is to use a key:value encoding schema such as JSON. Examples: "{"heightInMeters":1.5}", "{"tragusLengthInMeters":0.014, "weightInGrams":120}", "{"natureOfID":"expert identification", "identificationEvidence":"cytochrome B sequence"}", "{"relativeHumidity":28, "airTemperatureInCelcius":22, "sampleSizeInKilograms":10}", "{"aspectHeading":277, "slopeInDegrees":6}", "{"iucnStatus":"vulnerable", "taxonDistribution":"Neuquén, Argentina"}".	The recommended best practice is to use a key:value encoding schema such as JSON. Examples: "{"heightInMeters":1.5}", "{"tragusLengthInMeters":0.014, "weightInGrams":120}", "{"natureOfID":"expert identification", "identificationEvidence":"cytochrome B sequence"}", "{"relativeHumidity":28, "airTemperatureInCelcius":22, "sampleSizeInKilograms":10}", "{"aspectHeading":277, "slopeInDegrees":6}", "{"iucnStatus":"vulnerable", "taxonDistribution":"Neuquén, Argentina"}".				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/dynamicProperties	http://rs.tdwg.org/dwc/terms/dynamicProperties	Dynamic Properties		41	2015-05-06	2015-05-06	kenny	2015-05-06		dynamicProperties	publish	dynamicProperties	ethocore_term	http://rs.tdwg.org/dwc/terms/dynamicProperties	RecordLevel	A list of additional measurements, facts, characteristics, or assertions about the record. Meant to provide a mechanism for structured content.	The recommended best practice is to use a key:value encoding schema such as JSON. Examples: "{"heightInMeters":1.5}", "{"tragusLengthInMeters":0.014, "weightInGrams":120}", "{"natureOfID":"expert identification", "identificationEvidence":"cytochrome B sequence"}", "{"relativeHumidity":28, "airTemperatureInCelcius":22, "sampleSizeInKilograms":10}", "{"aspectHeading":277, "slopeInDegrees":6}", "{"iucnStatus":"vulnerable", "taxonDistribution":"Neuquén, Argentina"}".	Darwin Core	Dynamic Properties		recommended	2015-05-06	2015-05-06	dynamicProperties-2015-05-06
informationWithheld	RecordLevel	Additional information that exists, but that has not been shared in the given record.	Additional information that exists, but that has not been shared in the given record.	Examples: "location information not given for endangered species", "collector identities withheld", "ask about tissue samples".	Examples: "location information not given for endangered species", "collector identities withheld", "ask about tissue samples".				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/informationWithheld	http://rs.tdwg.org/dwc/terms/informationWithheld	Information Withheld		39	2015-05-06	2015-05-06	kenny	2015-05-06		informationWithheld	publish	informationWithheld	ethocore_term	http://rs.tdwg.org/dwc/terms/informationWithheld	RecordLevel	Additional information that exists, but that has not been shared in the given record.	Examples: "location information not given for endangered species", "collector identities withheld", "ask about tissue samples".	Darwin Core	Information Withheld		recommended	2015-05-06	2015-05-06	informationWithheld-2015-05-06
institutionCode	RecordLevel	The name (or acronym) in use by the institution having custody of the object(s) or information referred to in the record.	The name (or acronym) in use by the institution having custody of the object(s) or information referred to in the record.	Examples: "MVZ", "FMNH", "AKN-CLO", "University of California Museum of Paleontology (UCMP)".	Examples: "MVZ", "FMNH", "AKN-CLO", "University of California Museum of Paleontology (UCMP)".				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/institutionCode	http://rs.tdwg.org/dwc/terms/institutionCode	Institution Code		34	2015-05-06	2015-05-06	kenny	2015-05-06		institutionCode	publish	institutionCode	ethocore_term	http://rs.tdwg.org/dwc/terms/institutionCode	RecordLevel	The name (or acronym) in use by the institution having custody of the object(s) or information referred to in the record.	Examples: "MVZ", "FMNH", "AKN-CLO", "University of California Museum of Paleontology (UCMP)".	Darwin Core	Institution Code		recommended	2015-05-06	2015-05-06	institutionCode-2015-05-06
institutionID	RecordLevel	An identifier for the institution having custody of the object(s) or information referred to in the record.	An identifier for the institution having custody of the object(s) or information referred to in the record.	For physical specimens, the recommended best practice is to use an identifier from a collections registry such as the Global Registry of Biodiversity Repositories (http://grbio.org/). Examples: "http://biocol.org/urn:lsid:biocol.org:col:34777", "http://grbio.org/cool/km06-gtbn). Examples: "http://biocol.org/urn:lsid:biocol.org:col:34777", "http://grbio.org/cool/km06-gtbn".	For physical specimens, the recommended best practice is to use an identifier from a collections registry such as the Global Registry of Biodiversity Repositories (http://grbio.org/). Examples: "http://biocol.org/urn:lsid:biocol.org:col:34777", "http://grbio.org/cool/km06-gtbn). Examples: "http://biocol.org/urn:lsid:biocol.org:col:34777", "http://grbio.org/cool/km06-gtbn".				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/institutionID	http://rs.tdwg.org/dwc/terms/institutionID	Institution ID		31	2015-05-06	2015-05-06	kenny	2015-05-06		institutionID	publish	institutionID	ethocore_term	http://rs.tdwg.org/dwc/terms/institutionID	RecordLevel	An identifier for the institution having custody of the object(s) or information referred to in the record.	For physical specimens, the recommended best practice is to use an identifier from a collections registry such as the Global Registry of Biodiversity Repositories (http://grbio.org/). Examples: "http://biocol.org/urn:lsid:biocol.org:col:34777", "http://grbio.org/cool/km06-gtbn). Examples: "http://biocol.org/urn:lsid:biocol.org:col:34777", "http://grbio.org/cool/km06-gtbn".	Darwin Core	Institution ID		recommended	2015-05-06	2015-05-06	institutionID-2015-05-06
ownerInstitutionCode	RecordLevel	The name (or acronym) in use by the institution having ownership of the object(s) or information referred to in the record.	The name (or acronym) in use by the institution having ownership of the object(s) or information referred to in the record.	Examples: "NPS", "APN", "InBio".	Examples: "NPS", "APN", "InBio".				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/ownerInstitutionCode	http://rs.tdwg.org/dwc/terms/ownerInstitutionCode	Owner Institution Code		37	2015-05-06	2015-05-06	kenny	2015-05-06		ownerInstitutionCode	publish	ownerInstitutionCode	ethocore_term	http://rs.tdwg.org/dwc/terms/ownerInstitutionCode	RecordLevel	The name (or acronym) in use by the institution having ownership of the object(s) or information referred to in the record.	Examples: "NPS", "APN", "InBio".	Darwin Core	Owner Institution Code		recommended	2015-05-06	2015-05-06	ownerInstitutionCode-2015-05-06
relatedResourceID	ResourceRelationship	An identifier for a related resource (the object, rather than the subject of the relationship).	An identifier for a related resource (the object, rather than the subject of the relationship).						recommended			no - we don't use this class	Darwin Core	http://rs.tdwg.org/dwc/terms/relatedResourceID	http://rs.tdwg.org/dwc/terms/relatedResourceID	Related Resource ID	URI, URL, DOI	258	2015-05-06	2015-05-06	kenny	2015-05-06		relatedResourceID	publish	relatedResourceID	ethocore_term	http://rs.tdwg.org/dwc/terms/relatedResourceID	ResourceRelationship	An identifier for a related resource (the object, rather than the subject of the relationship).		Darwin Core	Related Resource ID		recommended	2015-05-06	2015-05-06	relatedResourceID-2015-05-06
relationshipAccordingTo	ResourceRelationship	The source (person, organization, publication, reference) establishing the relationship between the two resources.	The source (person, organization, publication, reference) establishing the relationship between the two resources.	Example: "Julie Woodruff"	Example: "Julie Woodruff"				recommended			no - we don't use this class	Darwin Core	http://rs.tdwg.org/dwc/terms/relationshipAccordingTo	http://rs.tdwg.org/dwc/terms/relationshipAccordingTo	Relationship According To	string	260	2015-05-06	2015-05-06	kenny	2015-05-06		relationshipAccordingTo	publish	relationshipAccordingTo	ethocore_term	http://rs.tdwg.org/dwc/terms/relationshipAccordingTo	ResourceRelationship	The source (person, organization, publication, reference) establishing the relationship between the two resources.	Example: "Julie Woodruff"	Darwin Core	Relationship According To		recommended	2015-05-06	2015-05-06	relationshipAccordingTo-2015-05-06
relationshipEstablishedDate	ResourceRelationship	The date-time on which the relationship between the two resources was established. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).	The date-time on which the relationship between the two resources was established. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).	Examples: "1963-03-08T14:07-0600" is 8 Mar 1963 2:07pm in the time zone six hours earlier than UTC, "2009-02-20T08:40Z" is 20 Feb 2009 8:40am UTC, "1809-02-12" is 12 Feb 1809, "1906-06" is Jun 1906, "1971" is just that year, "2007-03-01T13:00:00Z/2008-05-11T15:30:00Z" is the interval between 1 Mar 2007 1pm UTC and 11 May 2008 3:30pm UTC, "2007-11-13/15" is the interval between 13 Nov 2007 and 15 Nov 2007.	Examples: "1963-03-08T14:07-0600" is 8 Mar 1963 2:07pm in the time zone six hours earlier than UTC, "2009-02-20T08:40Z" is 20 Feb 2009 8:40am UTC, "1809-02-12" is 12 Feb 1809, "1906-06" is Jun 1906, "1971" is just that year, "2007-03-01T13:00:00Z/2008-05-11T15:30:00Z" is the interval between 1 Mar 2007 1pm UTC and 11 May 2008 3:30pm UTC, "2007-11-13/15" is the interval between 13 Nov 2007 and 15 Nov 2007.				recommended			no - we don't use this class	Darwin Core	http://rs.tdwg.org/dwc/terms/relationshipEstablishedDate	http://rs.tdwg.org/dwc/terms/relationshipEstablishedDate	Relationship Established Date	timestamp	261	2015-05-06	2015-05-06	kenny	2015-05-06		relationshipEstablishedDate	publish	relationshipEstablishedDate	ethocore_term	http://rs.tdwg.org/dwc/terms/relationshipEstablishedDate	ResourceRelationship	The date-time on which the relationship between the two resources was established. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).	Examples: "1963-03-08T14:07-0600" is 8 Mar 1963 2:07pm in the time zone six hours earlier than UTC, "2009-02-20T08:40Z" is 20 Feb 2009 8:40am UTC, "1809-02-12" is 12 Feb 1809, "1906-06" is Jun 1906, "1971" is just that year, "2007-03-01T13:00:00Z/2008-05-11T15:30:00Z" is the interval between 1 Mar 2007 1pm UTC and 11 May 2008 3:30pm UTC, "2007-11-13/15" is the interval between 13 Nov 2007 and 15 Nov 2007.	Darwin Core	Relationship Established Date		recommended	2015-05-06	2015-05-06	relationshipEstablishedDate-2015-05-06
